         96116814 function calls (96095838 primitive calls) in 44.675 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 font_manager.py:970(json_load)
        1    0.000    0.000    0.004    0.004 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:274(load)
        1    0.000    0.000    0.004    0.004 table.py:1(<module>)
      604    0.001    0.000    0.004    0.000 copy.py:61(copy)
       12    0.000    0.000    0.004    0.000 core.py:1132(parse_string)
     62/9    0.000    0.000    0.004    0.000 core.py:3788(leave_whitespace)
        4    0.000    0.000    0.004    0.001 skewed_stable_random_process.py:12(get_underlying_xi_for_time)
      259    0.000    0.000    0.004    0.000 typing.py:1216(__init__)
        4    0.000    0.000    0.004    0.001 skewed_stable_random_variable.py:61(__init__)
        1    0.000    0.000    0.004    0.004 skewed_stable_random_process.py:1(<module>)
        1    0.000    0.000    0.004    0.004 transforms.py:1(<module>)
